qid,wikidata_name,display_name,country,club_qid,alias
Q10306928,Jimmy Burgho,Jimmy Burgho,프랑스,Q192071,
Q10491008,Mathieu Bouyer,Mathieu Bouyer,프랑스,Q192071,
Q105426428,쿠엔탕 메를랑,쿠엔탕 메를랑,프랑스,Q192071,
Q10555366,Adama Niane,Adama Niane,말리,Q192071,
Q105722905,Abdoulaye Sylla,Abdoulaye Sylla,기니,Q192071,
Q1059176,메디 아베이드,메디 아베이드,알제리,Q192071,
Q1059176,메디 아베이드,메디 아베이드,프랑스,Q192071,
Q1098247,클라우디우 케셰뤼,클라우디우 케셰뤼,루마니아,Q192071,Claudiu Andreï Keșerü
Q1140975,프레쥐스 나쿨마,프레쥐스 나쿨마,부르키나파소,Q192071,"Niguimbe Prejuce Nakoulma, Niguimbe Préjuce Nakoulma, Préjuce Nakoulma"
Q114590,고란 루빌,고란 루빌,크로아티아,Q192071,
Q114590,고란 루빌,고란 루빌,프랑스,Q192071,
Q11598914,Saad Trabelsi,Saad Trabelsi,프랑스,Q192071,
Q116570,레미 고미스,레미 고미스,기니비사우,Q192071,"Remi Gomis, Rémi Sébastien Gomis"
Q116570,레미 고미스,레미 고미스,세네갈,Q192071,"Remi Gomis, Rémi Sébastien Gomis"
Q116570,레미 고미스,레미 고미스,프랑스,Q192071,"Remi Gomis, Rémi Sébastien Gomis"
Q118299625,Julien Mulak,Julien Mulak,프랑스,Q192071,
Q118876868,Bastien Meupiyou,Bastien Meupiyou,프랑스,Q192071,Ndemeni Bastien Chefren Meupiyou Menadjou
Q1193120,마키 바그나크,마키 바그나크,카메룬,Q192071,"Macky Franck Bagnack Mouegni, Macky Frank Bagnack Mouegni"
Q120068859,Émile Vidal,Émile Vidal,프랑스,Q192071,
Q1210530,디디에 쿠에쿠,디디에 쿠에쿠,프랑스,Q192071,Didier Couecou
Q12573093,Amédée Uchart,Amédée Uchart,프랑스,Q192071,
Q128915,Grégory Pujol,Grégory Pujol,프랑스,Q192071,"Gregory Daniel Bernard Pujol, Grégory Daniel Bernard Pujol, Gregory Pujol"
Q128936,콜베인 시그도르손,콜베인 시그도르손,아이슬란드,Q192071,"Kolbeinn Sigthorsson, Kolbeinn Sigthórsson"
Q12955973,Christian Drouet,Christian Drouet,프랑스,Q192071,
Q129777758,Herba Guirassy,Herba Guirassy,기니,Q192071,
Q129872,스테판 리에브르,스테판 리에브르,프랑스,Q192071,Stephane Lievre
Q1332907,장폴 베르트랑드만,장폴 베르트랑드만,프랑스,Q192071,Jean-Paul Fernand Gabriel Bertrand-Demanes
Q1337572,Mauro Cetto,Mauro Cetto,아르헨티나,Q192071,"Mauro Dario Jesus Cetto, Mauro Darío Jesús Cetto"
Q1337572,Mauro Cetto,Mauro Cetto,이탈리아,Q192071,"Mauro Dario Jesus Cetto, Mauro Darío Jesús Cetto"
Q1341954,이브라히마 카마라,이브라히마 카마라,프랑스,Q192071,이브라히마 소리 카마라
Q1342936,모 존스턴,모 존스턴,영국,Q192071,모리스 존스턴
Q1343515,Yao Aziawonou,Yao Aziawonou,토고,Q192071,Yao Kaka Aziawonou
Q1343966,기욤 리페르,기욤 리페르,프랑스,Q192071,기욤 장 마르셀 리페르
Q1348098,프레데리크 니마니,프레데리크 니마니,중앙아프리카 공화국,Q192071,프레데리크 쿠투 니마니 응갈루
Q1348098,프레데리크 니마니,프레데리크 니마니,차드,Q192071,프레데리크 쿠투 니마니 응갈루
Q1348098,프레데리크 니마니,프레데리크 니마니,프랑스,Q192071,프레데리크 쿠투 니마니 응갈루
Q1354322,그제고시 크리호비아크,그제고시 크리호비아크,폴란드,Q192071,
Q135438,훌리오 에르난 로시,훌리오 에르난 로시,아르헨티나,Q192071,Julio Hernan Rossi
